index,id,water,uv,area,fertilizer_usage,yield,pesticides,region,categories,a,b,c,d,yieldperhectare
70,800,9.192,72.77,4.22,2,26.759,1.391,2,"c,a",1,0,1,0,6.34
71,639,10.066,64.12,4.252,2,33.606,3.144,6,a,1,0,0,0,7.9
72,890,5.95,74.222,4.278,4,51.238,4.612,2,"a,c,b",1,1,1,0,11.98
73,758,11.267,59.765,4.282,3,52.869,2.65,2,"d,c",0,0,1,1,12.35
74,446,10.813,61.306,4.299,4,37.665,6.084,5,a,1,0,0,0,8.76
75,631,1.676,76.901,4.318,2,33.036,5.01,2,c,0,0,1,0,7.65
76,493,3.885,90.055,4.325,1,29.739,3.18,2,"c,b,d,a",1,1,1,1,6.88
77,511,6.576,75.192,4.354,0,15.557,1.533,1,b,0,1,0,0,3.57
78,262,3.294,63.587,4.376,3,31.622,0.282,3,"a,c,b,d",1,1,1,1,7.23
79,735,5.771,81.979,4.395,4,50.643,3.863,2,"d,b,c,a",1,1,1,1,11.52
80,726,10.031,79.65,4.407,3,39.464,0.931,4,"d,b,c",0,1,1,1,8.95
81,887,8.382,88.752,4.473,1,36.326,5.355,2,"c,b",0,1,1,0,8.12
82,826,2.014,75.628,4.474,0,30.805,5.948,1,"b,c",0,1,1,0,6.89
83,459,5.988,72.768,4.478,2,46.661,3.724,3,"b,d,a",1,1,0,1,10.42
84,607,10.93,76.108,4.487,5,55.399,5.709,1,"d,b,c",0,1,1,1,12.35
85,366,6.375,66.475,4.51,4,40.845,7.04,3,"b,d,c",0,1,1,1,9.06
86,462,11.299,59.711,4.549,3,27.888,7.008,5,"c,b,a",1,1,1,0,6.13
87,65,2.36,72.298,4.581,3,34.786,1.264,2,"c,b,d",0,1,1,1,7.59
88,960,10.346,66.05,4.61,2,40.778,7.569,2,c,0,0,1,0,8.85
89,219,4.506,74.019,4.618,4,37.232,0.35,2,"b,a,c,d",1,1,1,1,8.06
90,290,10.389,66.499,4.622,4,62.191,2.817,2,d,0,0,0,1,13.46
91,825,12.802,88.061,4.623,5,47.218,0.427,2,"b,c",0,1,1,0,10.21
92,259,7.461,93.398,4.676,3,43.32,3.18,1,"b,c,a",1,1,1,0,9.26
93,64,3.025,82.544,4.68,1,29.772,2.118,2,"b,c,a,d",1,1,1,1,6.36
94,273,4.444,64.701,4.687,3,51.513,4.196,3,"a,d,b",1,1,0,1,10.99
95,842,3.983,77.509,4.69,3,45.96,2.203,2,"c,b",0,1,1,0,9.8
96,300,6.908,80.915,4.715,1,20.482,5.639,6,"d,b,c",0,1,1,1,4.34
97,724,6.001,78.343,4.725,1,27.339,1.844,2,"b,a",1,1,0,0,5.79
98,725,8.97,60.699,4.736,1,41.57,0.593,1,a,1,0,0,0,8.78
99,39,3.757,73.536,4.738,3,42.323,2.068,2,"c,a,b",1,1,1,0,8.93
100,506,7.277,94.914,4.759,0,24.625,2.983,1,"b,c,d",0,1,1,1,5.17
101,968,10.71,67.928,4.782,2,61.784,4.316,2,a,1,0,0,0,12.92
102,809,6.585,83.134,4.805,3,57.542,4.434,4,"d,a",1,0,0,1,11.98
103,399,8.231,75.672,4.806,0,28.673,3.211,2,"b,d,c",0,1,1,1,5.97
104,37,3.261,72.628,4.809,4,42.565,7.009,2,"b,d,a",1,1,0,1,8.85
105,304,11.845,67.533,4.814,2,60.183,3.496,3,d,0,0,0,1,12.5
106,751,12.842,65.594,4.9,4,65.867,2.794,2,d,0,0,0,1,13.44
107,51,7.378,62.963,4.935,5,58.183,2.826,2,"a,c",1,0,1,0,11.79
108,97,2.803,80.21,4.983,4,46.165,1.241,1,"b,a,d,c",1,1,1,1,9.26
109,403,9.108,73.95748788,4.986,2,52.428,1.503,1,a,1,0,0,0,10.52
110,283,7.931,82.366,5.005,5,64.001,2.7,2,"c,d,a",1,0,1,1,12.79
111,35,3.107,78.328,5.015,4,40.403,8.22,2,"c,b",0,1,1,0,8.06
112,955,12.22354593,70.54,5.017,3,35.066,4.605,5,"d,b,c",0,1,1,1,6.99
113,870,9.139,67.24,5.06,3,42.041,0.849,3,"c,b,d",0,1,1,1,8.31
114,752,6.228,75.696,5.065,2,31.021,4.895,6,b,0,1,0,0,6.12
115,334,13.468,78.352,5.085,4,63.186,3.596,1,"a,b,c",1,1,1,0,12.43
116,596,10.236,77.426,5.087,4,61.604,2.783,2,"d,c,b",0,1,1,1,12.11
117,277,9.145,63.522,5.094,4,58.31,2.552,2,"c,a",1,0,1,0,11.45
118,719,8.126,73.95748788,5.101,3,43.121,0.429,2,"c,b",0,1,1,0,8.45
119,570,7.162,84.523,5.114,2,39.16,0.678,2,"b,c,a",1,1,1,0,7.66
120,76,11.35,64.436,5.117,1,54.986,5.473,1,a,1,0,0,0,10.75
121,357,9.762,65.737,5.125,3,64.428,5.394,2,d,0,0,0,1,12.57
122,689,12.22354593,74.854,5.133,5,45.451,3.335,6,"a,c,d",1,0,1,1,8.85
123,501,6.443,63.067,5.134,0,29.685,2.809,3,c,0,0,1,0,5.78
124,662,6.66,91.051,5.165,2,54.193,4.513,2,"d,b,a,c",1,1,1,1,10.49
125,727,12.22354593,69.941,5.173,3,54.453,5.458,2,"b,d,c,a",1,1,1,1,10.53
126,168,2.005,76.857,5.211,2,30.041,7.108,1,a,1,0,0,0,5.76
127,805,5.678,67.31,5.239,4,41.729,0.091,2,"b,c",0,1,1,0,7.97
128,8,9.857,61.683,5.24,1,57.811,5.09,1,a,1,0,0,0,11.03
129,564,5.92,78.735,5.245,2,29.507,1.136,0,b,0,1,0,0,5.63
130,512,4.832,69.357,5.257,3,46.507,2.813,2,"c,b,d",0,1,1,1,8.85
131,349,10.824,58.814,5.262,4,50.617,3.389,5,d,0,0,0,1,9.62
132,544,4.145,84.218,5.272,4,50.052,1.756,2,"c,b,d",0,1,1,1,9.49
133,504,5.777,78.295,5.272,1,35.544,2.453,3,"b,d,a",1,1,0,1,6.74
134,883,6.164,74.182,5.275,5,60.419,1.264,2,"c,a",1,0,1,0,11.45
135,593,8.701,63.37,5.281,2,51.147,1.189,2,d,0,0,0,1,9.69
136,755,4.307,73.367,5.294,0,14.359,1.336,6,"c,a,b,d",1,1,1,1,2.71
137,979,10.073,63.706,5.311,3,53.373,0.454,2,c,0,0,1,0,10.05
138,714,11.178,93.072,5.33,5,62.237,1.869,2,d,0,0,0,1,11.68
139,523,5.941,65.518,5.343,5,64.947,3.231,1,"c,b,d",0,1,1,1,12.16
140,147,5.66,86.872,5.344,1,43.684,3.65,3,b,0,1,0,0,8.17
141,114,4.945,65.747,5.355,0,14.227,6.726,3,"b,d",0,1,0,1,2.66
142,130,5.64,64.685,5.358,4,39.16,4.863,5,c,0,0,1,0,7.31
143,683,5.234,72.133,5.398,5,57.854,0.749,3,"d,b",0,1,0,1,10.72
144,565,12.203,65.716,5.399,1,40.656,0.187,2,c,0,0,1,0,7.53
145,736,9.829,65.252,5.401,2,64.018,5.467,2,a,1,0,0,0,11.85
146,10,7.969,73.95748788,5.407,1,29.14,0.274,0,"c,d",0,0,1,1,5.39
147,62,10.274,64.257,5.407,2,61.041,1.817,0,"c,a",1,0,1,0,11.29
148,236,6.351,59.387,5.438,1,21.142,7.979,2,"a,c,b,d",1,1,1,1,3.89
149,400,9.753,73.95748788,5.449,4,59.169,1.945,1,"a,d,b",1,1,0,1,10.86
150,190,1.474,54.196,5.473,3,48.216,2.722,1,"b,c,a,d",1,1,1,1,8.81
151,338,3.472,73.95748788,5.474,1,43.149,4.316,0,"a,d",1,0,0,1,7.88
152,415,5.464,85.867,5.479,2,45.01,3.641,1,"c,b,a",1,1,1,0,8.22
153,127,5.386,73.95748788,5.481,1,28.021,6.32,2,"b,c,a",1,1,1,0,5.11
154,740,6.565,76.479,5.49,4,30.391,0.234,5,"d,b,c",0,1,1,1,5.54
155,999,3.316,75.49,5.501,1,43.152,4.22,3,c,0,0,1,0,7.84
156,460,7.997,62.071,5.502,4,47.541,0.744,2,"d,a,b",1,1,0,1,8.64
157,967,9.665,83.702,5.512,3,42.745,8.398,2,"a,c,b,d",1,1,1,1,7.75
158,927,5.312,65.494,5.537,3,62.844,4.028,1,a,1,0,0,0,11.35
159,87,7.204,66.625,5.537,4,43.873,5.456,6,d,0,0,0,1,7.92
160,788,10.896,62.282,5.547,3,70,2.903,2,a,1,0,0,0,12.62
161,828,7.455,85.167,5.555,3,46.624,2.55,0,"b,c,d,a",1,1,1,1,8.39
162,542,11.581,78.808,5.562,3,67.215,3.89,3,"c,b",0,1,1,0,12.08
163,906,5.812,76.878,5.567,2,44.262,2.921,2,"d,c,a",1,0,1,1,7.95
164,741,9.405,63.739,5.573,3,58.821,0.57,4,"d,c",0,0,1,1,10.55
165,112,10.11,79.742,5.594,3,64.496,4.515,2,"c,b,d",0,1,1,1,11.53
166,876,3.901,75.747,5.6,1,43.3,3.969,1,"b,d,c,a",1,1,1,1,7.73
167,702,0.837,84.711,5.615,3,46.146,5.411,2,b,0,1,0,0,8.22
168,844,5.277,73.95748788,5.618,3,49.582,2.761,1,b,0,1,0,0,8.83
169,915,12.22354593,69.36,5.629,2,24.375,0.782,6,"b,d,a",1,1,0,1,4.33
170,853,8.501,63.434,5.634,4,64.958,2.484,2,"c,a,d",1,0,1,1,11.53
171,246,10.297,65.361,5.64,2,71.583,4.359,2,"a,d",1,0,0,1,12.69
172,427,10.361,62.63,5.656,3,42.423,0.903,6,a,1,0,0,0,7.5
173,70,9.938,78.164,5.657,1,53.264,4.182,3,"d,b",0,1,0,1,9.42
174,224,6.849,73.201,5.67,1,26.347,7.569,3,"d,b",0,1,0,1,4.65
175,996,6.931,75.326,5.675,0,29.261,1.355,2,"d,b,a",1,1,0,1,5.16
176,261,5.198,69.783,5.681,1,30.288,5.92,2,b,0,1,0,0,5.33
177,420,3.242,64.165,5.716,1,22.273,0.462,2,"c,a",1,0,1,0,3.9
178,932,4.294,72.557,5.716,3,54.932,2.313,2,"b,c,a,d",1,1,1,1,9.61
179,577,12.139,66.041,5.717,1,41.574,3.457,6,"a,c",1,0,1,0,7.27
180,796,3.67,68.932,5.721,1,40.947,4.837,2,c,0,0,1,0,7.16
181,320,0.312,67.7,5.726,1,33.178,1.738,3,c,0,0,1,0,5.79
182,591,9.644,84.473,5.743,4,47.633,3.293,6,b,0,1,0,0,8.29
183,978,7.958,80.514,5.746,3,61.532,5.476,2,"a,c,b",1,1,1,0,10.71
184,346,6.373,67.61,5.75,3,23.693,0.616,6,b,0,1,0,0,4.12
185,905,11.151,64.692,5.763,1,62.495,2.38,2,a,1,0,0,0,10.84
186,902,7.202,65.704,5.765,2,42.476,2.351,3,"b,c,d",0,1,1,1,7.37
187,847,5.804,78.938,5.777,0,19.131,1.622,2,b,0,1,0,0,3.31
188,68,4.263,83.991,5.781,1,22.527,2.027,6,"b,d,a",1,1,0,1,3.9
189,843,9.044,70.653,5.782,2,29.646,0.257,6,"d,b",0,1,0,1,5.13
190,914,5.653,73.95748788,5.789,3,40.083,0.759,2,c,0,0,1,0,6.92
191,149,9.984,79.402,5.819,3,52.944,1.282,3,d,0,0,0,1,9.1
192,343,5.141,75.315,5.833,1,50.17,2.458,0,c,0,0,1,0,8.6
193,957,8.525,89.516,5.836,3,69.155,4.521,2,"c,d,a,b",1,1,1,1,11.85
194,907,2.903,58.439,5.837,0,14.259,0.944,2,c,0,0,1,0,2.44
195,797,7.124,59.296,5.847,0,33.541,2.653,3,c,0,0,1,0,5.74
196,849,13.202,86.966,5.852,5,76.547,4.86,2,"c,b,a",1,1,1,0,13.08
197,656,5.331,66.502,5.859,2,44.992,4.744,1,c,0,0,1,0,7.68
198,232,5.868,87.286,5.861,3,45.247,1.57,2,"d,a,b",1,1,0,1,7.72
199,537,6.731,93.95,5.869,3,64.845,3.329,1,d,0,0,0,1,11.05
200,961,7.514,76.65,5.88,4,75.178,4.04,1,d,0,0,0,1,12.79
201,911,3.923,68.449,5.881,2,29.194,7.677,2,"d,a,c",1,0,1,1,4.96
202,44,7.155,69.505,5.894,5,71.325,4.983,2,"d,c",0,0,1,1,12.1
203,602,8.547,78.815,5.894,3,56.01,2.747,3,b,0,1,0,0,9.5
204,746,6.432,70.144,5.895,0,21.328,0.679,2,"c,b,d",0,1,1,1,3.62
205,282,7.14,67.037,5.913,3,54.286,1.69,2,c,0,0,1,0,9.18
206,641,8.911,60.226,5.914,3,79.952,4.828,2,c,0,0,1,0,13.52
207,268,12.458,70.46,5.928,2,43.134,7.746,2,c,0,0,1,0,7.28
208,765,3.994,69.151,5.931,1,41.946,3.764,1,c,0,0,1,0,7.07
209,46,11.531,80.119,5.937,4,57.662,0.477,1,"d,b,a,c",1,1,1,1,9.71
210,718,7.803,77.634,5.941,1,25.983,7.957,4,"c,b,d,a",1,1,1,1,4.37
211,841,4.353,76.822,5.948,1,39.806,2.775,2,"c,b",0,1,1,0,6.69
212,850,6.279,81.545,5.95,0,40.012,4.681,2,"b,c",0,1,1,0,6.72
213,17,10.952,73.95748788,5.957,5,80.753,4.217,3,c,0,0,1,0,13.56
214,342,5.286,77.891,5.971,2,36.398,1.261,2,"b,d",0,1,0,1,6.1
215,619,5.264,78.729,5.98,0,41.611,3.213,2,c,0,0,1,0,6.96
216,278,10.265,66.906,5.984,2,65.116,6.36,2,d,0,0,0,1,10.88
217,287,9.208,66.085,5.994,2,72.525,3.215,1,a,1,0,0,0,12.1
218,486,11.267,88.425,5.995,1,50.531,2.863,2,"d,b,c,a",1,1,1,1,8.43
219,852,3.912,83.25,6.006,3,44.038,1.22,0,"b,a",1,1,0,0,7.33
220,950,9.887,60.344,6.006,3,63.444,0.507,2,"a,b",1,1,0,0,10.56
221,121,11.243,72.49,6.011,4,69.878,2.578,0,"b,c",0,1,1,0,11.63
222,182,11.403,67.493,6.017,1,61.517,6.158,2,a,1,0,0,0,10.22
223,404,8.487,68.603,6.035,3,65.21,5.457,2,b,0,1,0,0,10.81
224,551,5.54,69.833,6.045,4,36.684,0.056,6,"a,c",1,0,1,0,6.07
225,669,8.339,91.04,6.047,2,35.957,0.951,1,b,0,1,0,0,5.95
226,597,8.711,51.016,6.064,3,53.135,0.383,0,"c,a",1,0,1,0,8.76
227,771,9.827,63.155,6.066,1,71.577,5.25,0,a,1,0,0,0,11.8
228,99,10.493,78.034,6.068,3,66.599,2.982,1,b,0,1,0,0,10.98
229,212,7.031,68.481,6.07,2,38.915,1.191,1,"b,a",1,1,0,0,6.41
230,561,1.182,57.343,6.084,1,25.461,7.676,2,c,0,0,1,0,4.18
231,899,5.929,67.5,6.084,5,44.399,1.92,6,"c,a",1,0,1,0,7.3
232,848,5.552,87.215,6.102,0,32.032,2.729,2,c,0,0,1,0,5.25
233,355,9.355,66.235,6.164,4,84.764,2.394,2,a,1,0,0,0,13.75
234,509,8.688,66.108,6.187,2,70.875,2.174,3,a,1,0,0,0,11.46
235,612,2.208,53.329,6.19,3,53.51,5.276,2,"c,b,d",0,1,1,1,8.64
236,436,4.212,78.549,6.197,4,58.239,6.584,2,"c,b,d,a",1,1,1,1,9.4
237,505,11.272,82.494,6.207,3,60.075,6.346,1,"a,b,c",1,1,1,0,9.68
238,379,8.157,91.237,6.219,4,59.741,6.283,1,"b,d,c",0,1,1,1,9.61
239,834,10.076,79.507,6.223,3,61.788,1.733,3,"d,a",1,0,0,1,9.93
240,360,12.22354593,74.515,6.227,1,42.906,4.528,2,"c,a,d,b",1,1,1,1,6.89
241,942,10.954,77.244,6.229,1,54.715,3.222,2,"c,a",1,0,1,0,8.78
242,701,5.571,93.209,6.23,4,48.861,2.406,6,d,0,0,0,1,7.84
243,582,9.555,66.702,6.236,2,37.121,6.15,6,"a,c,b",1,1,1,0,5.95
244,274,9.711,61.198,6.249,3,48.438,1.619,6,a,1,0,0,0,7.75
245,425,10.501,61.344,6.258,1,70.473,5.097,2,d,0,0,0,1,11.26
246,351,3.819,66.138,6.259,0,32.389,0.948,0,"d,b,c",0,1,1,1,5.17
247,252,4.151,84.557,6.275,2,38.016,3.82,6,"c,b",0,1,1,0,6.06
248,938,1.531,86.133,6.276,1,45.651,3.269,2,"b,c",0,1,1,0,7.27
249,177,4.51,85.12,6.283,0,35.52,1.57,2,"b,c,d",0,1,1,1,5.65
250,248,0.23,78.879,6.285,0,30.174,7.096,2,"b,c,d,a",1,1,1,1,4.8
251,189,6.923,65.294,6.301,4,52.202,0.44,1,"d,c",0,0,1,1,8.28
252,405,8.156,62.603,6.307,4,62.294,1.765,2,"d,a,c",1,0,1,1,9.88
253,6,10.679,79.767,6.311,1,43.157,0.458,2,a,1,0,0,0,6.84
254,704,0.76,57.93,6.313,0,40.826,4.822,2,"b,c,a,d",1,1,1,1,6.47
255,109,9.075,80.496,6.314,2,55.399,1.836,2,"d,b",0,1,0,1,8.77
256,238,5.727,73.95748788,6.324,0,25.767,1.621,3,"c,b,d",0,1,1,1,4.07
257,783,7.235,84.569,6.325,3,32.748,8.992,1,"c,b,d",0,1,1,1,5.18
258,439,6.657,68.719,6.339,3,34.834,0.881,6,"c,a,b,d",1,1,1,1,5.5
259,920,4.381,68.231,6.344,0,40.603,5.276,0,"b,c,a",1,1,1,0,6.4
260,623,5.144,73.95748788,6.344,3,57.953,4.832,2,"b,c,a",1,1,1,0,9.14
261,499,5.051,60.051,6.351,0,14.657,0.239,2,c,0,0,1,0,2.31
262,918,10.513,65.778,6.364,1,74.221,3.93,3,d,0,0,0,1,11.66
263,429,8.576,47.962,6.367,4,69.505,6.099,2,"d,a",1,0,0,1,10.92
264,822,8.578,72.647,6.375,3,72.211,3.839,3,"d,b,c,a",1,1,1,1,11.33
265,327,6.999,66.392,6.378,0,26.812,2.676,3,c,0,0,1,0,4.2
266,74,3.883,73.481,6.384,5,53.113,3.58,6,"b,c,d",0,1,1,1,8.32
267,423,4.041,71.244,6.388,1,51.494,3.778,1,b,0,1,0,0,8.06
268,354,4.573,71.038,6.393,1,48.684,4.449,2,"b,c",0,1,1,0,7.62
269,888,3.349,74.586,6.415,0,45.314,6.73,2,b,0,1,0,0,7.06
270,973,3.591,69.28,6.418,4,58.406,1.012,3,d,0,0,0,1,9.1
271,515,9.968,91.766,6.449,2,54.353,5.92,3,"d,a,c",1,0,1,1,8.43
272,684,5.59,73.905,6.453,1,32.573,0.986,1,"b,d",0,1,0,1,5.05
273,108,4.071,72.066,6.478,3,39.714,7.637,2,c,0,0,1,0,6.13
274,198,5.455,69.339,6.488,1,39.492,5.82,3,"b,a,d",1,1,0,1,6.09
275,285,12.677,59.283,6.493,1,53.931,2.098,1,"d,c,b",0,1,1,1,8.31
276,643,2.756,70.307,6.495,2,56.732,4.137,1,"b,a,c",1,1,1,0,8.73
277,479,4.217,64.047,6.504,1,41.139,0.913,0,"b,c,a,d",1,1,1,1,6.33
278,856,3.11,70.787,6.504,1,31.893,1.2,2,"d,b",0,1,0,1,4.9
279,634,9.911,57.726,6.506,4,68.685,1.475,1,d,0,0,0,1,10.56
280,193,7.968,70.425,6.518,5,74.873,1.715,1,"d,b,c",0,1,1,1,11.49
281,958,10.685,75.248,6.52,5,88.759,3.672,1,d,0,0,0,1,13.61
282,215,5.436,70.144,6.521,0,19.73,0.667,2,"c,d,b",0,1,1,1,3.03
283,75,8.583,92.312,6.53,2,58.415,6.141,3,a,1,0,0,0,8.95
284,348,2.74,75.276,6.536,0,35.551,7.967,2,"c,d,b",0,1,1,1,5.44
285,440,5.498,87.675,6.54,3,56.935,2.815,2,"b,a,d",1,1,0,1,8.71
286,879,10.281,73.059,6.541,4,63.416,4.557,5,d,0,0,0,1,9.7
287,717,5.79,94.689,6.545,3,61.66,4.747,3,c,0,0,1,0,9.42
288,562,2.082,73.95748788,6.546,3,57.877,3.302,0,a,1,0,0,0,8.84
289,447,9.838,64.719,6.553,4,84.289,1.949,1,d,0,0,0,1,12.86
290,448,5.314,86.261,6.561,1,31.992,3.45,6,"c,b",0,1,1,0,4.88
291,778,3.442,71.694,6.563,3,61.703,2.133,2,"c,a,b,d",1,1,1,1,9.4
292,50,6.262,73.95748788,6.572,0,11.371,7.707,2,"c,d",0,0,1,1,1.73
293,981,3.507,74.09,6.572,0,49.189,3.732,2,c,0,0,1,0,7.48
294,196,11.197,76.001,6.575,4,47.65,1.976,6,"c,d,b,a",1,1,1,1,7.25
295,36,12.375,64.614,6.577,3,77.839,3.364,2,"d,a,c,b",1,1,1,1,11.84
296,924,10.054,78.101,6.583,3,76.347,4.409,2,"c,b,a",1,1,1,0,11.6
297,375,8.268,67.417,6.586,4,72.368,5.112,1,"c,b,d,a",1,1,1,1,10.99
298,709,8.34,73.689,6.586,4,44.698,6.983,5,d,0,0,0,1,6.79
299,579,3.958,89.84,6.59,1,52.247,3.904,4,c,0,0,1,0,7.93
300,480,3.988,77.82,6.591,0,26.53,0.94,2,c,0,0,1,0,4.03
301,693,6.285,66.023,6.6,1,40.457,2.366,3,"b,c,a",1,1,1,0,6.13
302,820,6.363,70.847,6.607,4,42.664,0.954,6,c,0,0,1,0,6.46
303,154,2.853,95.767,6.612,0,40.011,2.835,2,"c,a",1,0,1,0,6.05
304,288,3.594,74.763,6.618,2,43.988,1.736,2,a,1,0,0,0,6.65
305,336,0.842,80.154,6.619,1,52.916,3.406,1,b,0,1,0,0,7.99
306,113,6.507,65.813,6.633,2,42.473,0.148,3,"c,b,d,a",1,1,1,1,6.4
307,560,8.988,79.287,6.652,4,78.41,2.874,2,a,1,0,0,0,11.79
308,606,5.006,79.924,6.672,3,56.607,7.532,3,"d,a,c",1,0,1,1,8.48
